Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
Unnamed,US,24,8,216.15.59.26,216-15-59-26.c3-0.nmex-ubr1.lnh-nmex.md.cable.rcn.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,IR,0,0,2.146.138.52,2.146.138.52,443,9030,0,1,0,0,0,0,1,1,1,Tor 0.2.2.32 (git-877e17749725ab88) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,AT,2,0,80.121.8.32,80-121-8-32.adsl.highway.telekom.at,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,PT,12,2,79.168.28.27,a79-168-28-27.cpe.netcabo.pt,9030,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,RU,4,0,178.66.235.223,178.66.235.223,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,45,0,72.129.183.133,mta-72-129-183-133.new.res.rr.com,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,FR,1,0,213.245.237.96,213-245-237-96.rev.numericable.fr,444,None,0,1,0,0,0,1,1,1,0,Tor 0.2.2.33 (git-8522652d8e9213d4) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,PL,0,0,157.25.37.115,ip-157-25-37-115.multimo.pl,443,None,0,0,0,0,0,0,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux armv5tel,0,0
Unnamed,GB,1,21,82.5.203.17,cpc3-rdng5-0-0-cust784.15-3.cable.virginmedia.com,443,None,0,0,0,0,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,US,6,1,76.102.169.157,c-76-102-169-157.hsd1.ca.comcast.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,FR,34,3,88.183.216.162,cnf78-4-88-183-216-162.fbx.proxad.net,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7  [workstation],0,0
Unnamed,JP,115,25,49.212.16.119,www1081ua.sakura.ne.jp,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Linux x86_64,0,0
Unnamed,LV,1,0,89.201.62.217,btv89-201-62-217.btv.lv,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,DE,0,0,85.179.46.64,e179046064.adsl.alicedsl.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,SY,0,0,188.229.192.101,188.229.192.101,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,3,8,216.231.38.106,dsl231-038-106.sea1.dsl.speakeasy.net,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,AR,4,0,24.232.58.150,OL150-58.fibertel.com.ar,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,UA,28,0,178.213.110.43,ip110-43.donsat.tv,4433,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,RU,59,0,176.14.217.188,176.14.217.188,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed007,US,3,0,24.154.184.69,static-acs-24-154-184-69.zoominternet.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
